Day,Hour,Temp,PredictedKwh
12/16/2014,22,44.06,53.32242425
12/16/2014,23,42.98,50.31114559
12/17/2014,0,43.46,53.64048196
12/17/2014,1,44.06,55.31365563
12/17/2014,2,44.96,57.82454621
12/17/2014,3,46.04,60.83940495
12/17/2014,4,46.94,63.35327894
12/17/2014,5,44.96,57.82454621
12/17/2014,6,44.42,56.31784913
12/17/2014,7,42.98,121.7468907
12/17/2014,8,42.98,121.7468907
12/17/2014,9,42.89,121.4960389
12/17/2014,10,42.44,120.2419836
12/17/2014,11,42.86,121.4124247
12/17/2014,12,44.78,126.7667733
12/17/2014,13,46.04,130.2839186
12/17/2014,14,46.67,132.0434881
12/17/2014,15,47.21,133.5522193
12/17/2014,16,48.02,135.8162315
12/17/2014,17,46.94,132.7977926
12/17/2014,18,45.86,129.7813066
12/17/2014,19,44.96,57.82454621
12/17/2014,20,44.06,55.31365563
12/17/2014,21,42.98,52.30237697
12/17/2014,22,42.08,49.7944698
12/17/2014,23,41,46.78677123
12/18/2014,0,39.92,45.77225681
12/18/2014,1,39.92,45.77225681
12/18/2014,2,39.92,45.77225681
12/18/2014,3,39.92,45.77225681
12/18/2014,4,39.02,43.26896035
12/18/2014,5,37.04,37.76648159
12/18/2014,6,37.04,37.76648159
12/18/2014,7,36.32,105.2117212
12/18/2014,8,37.04,107.2109953
12/18/2014,9,39.92,115.2167705
12/18/2014,10,41,118.2225163
12/18/2014,11,42.98,123.7381221
12/18/2014,12,42.98,123.7381221
12/18/2014,13,42.98,123.7381221
12/18/2014,14,42.98,123.7381221
12/18/2014,15,42.08,121.2302149
12/18/2014,16,41,118.2225163
12/18/2014,17,41,118.2225163
12/18/2014,18,39.92,115.2167705
12/18/2014,19,39.02,43.26896035
12/18/2014,20,39.02,43.26896035
12/18/2014,21,39.02,43.26896035
12/18/2014,22,37.94,40.26679465
12/18/2014,23,37.04,37.76648159
12/19/2014,0,37.04,39.75771297
12/19/2014,1,37.04,39.75771297
12/19/2014,2,35.96,36.75912735
12/19/2014,3,35.06,34.2617977
12/19/2014,4,35.06,34.2617977
12/19/2014,5,33.98,31.26679217
12/19/2014,6,33.98,31.26679217
12/19/2014,7,33.98,100.7113059
12/19/2014,8,35.06,103.7063114
12/19/2014,9,33.98,100.7113059
12/19/2014,10,33.98,100.7113059
12/19/2014,11,35.06,103.7063114
12/19/2014,12,35.06,103.7063114
12/19/2014,13,35.06,103.7063114
12/19/2014,14,35.06,103.7063114
12/19/2014,15,35.06,103.7063114
12/19/2014,16,33.08,98.21695962
12/19/2014,17,32,95.22553417
12/19/2014,18,30.92,92.2360615
12/19/2014,19,30.92,22.7915478
12/19/2014,20,30.02,20.30181227
12/19/2014,21,30.02,20.30181227
12/19/2014,22,28.94,17.31591968
12/19/2014,23,28.94,17.31591968
12/20/2014,0,28.04,-57.7571023
12/20/2014,1,28.04,-57.7571023
12/20/2014,2,28.04,-57.7571023
12/20/2014,3,28.04,-57.7571023
12/20/2014,4,28.04,-57.7571023
12/20/2014,5,28.04,-57.7571023
12/20/2014,6,26.96,-60.73941481
12/20/2014,7,28.04,11.6874114
12/20/2014,8,30.02,17.16005611
