"date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","temp"
2014-12-20,"12","20","2014",10,6,0,1,30.92
2014-12-20,"12","20","2014",11,6,0,1,33.08
2014-12-20,"12","20","2014",12,6,0,1,33.08
2014-12-20,"12","20","2014",13,6,0,1,33.98
2014-12-20,"12","20","2014",14,6,0,1,33.8
2014-12-20,"12","20","2014",15,6,0,1,33.98
2014-12-20,"12","20","2014",16,6,0,1,33.08
2014-12-20,"12","20","2014",17,6,0,1,33.44
2014-12-20,"12","20","2014",18,6,0,1,33.89
2014-12-20,"12","20","2014",19,6,0,0,35.06
2014-12-20,"12","20","2014",20,6,0,0,35.06
2014-12-20,"12","20","2014",21,6,0,0,35.06
2014-12-20,"12","20","2014",22,6,0,0,35.06
2014-12-20,"12","20","2014",23,6,0,0,35.06
2014-12-21,"12","21","2014",0,0,0,0,35.06
2014-12-21,"12","21","2014",1,0,0,0,35.33
2014-12-21,"12","21","2014",2,0,0,0,35.06
2014-12-21,"12","21","2014",3,0,0,0,35.06
2014-12-21,"12","21","2014",4,0,0,0,32
2014-12-21,"12","21","2014",5,0,0,0,32
2014-12-21,"12","21","2014",6,0,0,0,30.92
2014-12-21,"12","21","2014",7,0,0,1,30.02
2014-12-21,"12","21","2014",8,0,0,1,30.02
2014-12-21,"12","21","2014",9,0,0,1,30.11
2014-12-21,"12","21","2014",10,0,0,1,30.92
2014-12-21,"12","21","2014",11,0,0,1,32
2014-12-21,"12","21","2014",12,0,0,1,32
2014-12-21,"12","21","2014",13,0,0,1,33.08
2014-12-21,"12","21","2014",14,0,0,1,33.08
2014-12-21,"12","21","2014",15,0,0,1,33.8
2014-12-21,"12","21","2014",16,0,0,1,33.98
2014-12-21,"12","21","2014",17,0,0,1,33.89
2014-12-21,"12","21","2014",18,0,0,1,33.98
2014-12-21,"12","21","2014",19,0,0,0,33.98
2014-12-21,"12","21","2014",20,0,0,0,33.98
2014-12-21,"12","21","2014",21,0,0,0,33.98
2014-12-21,"12","21","2014",22,0,0,0,33.98
2014-12-21,"12","21","2014",23,0,0,0,33.98
2014-12-22,"12","22","2014",0,1,1,0,33.08
2014-12-22,"12","22","2014",1,1,1,0,33.08
2014-12-22,"12","22","2014",2,1,1,0,33.08
2014-12-22,"12","22","2014",3,1,1,0,33.08
2014-12-22,"12","22","2014",4,1,1,0,33.08
2014-12-22,"12","22","2014",5,1,1,0,33.08
2014-12-22,"12","22","2014",6,1,1,0,33.56
2014-12-22,"12","22","2014",7,1,1,1,33.98
2014-12-22,"12","22","2014",8,1,1,1,35.06
2014-12-22,"12","22","2014",9,1,1,1,37.94
